,deme,region
0,NE-0,NE
1,NE-1,NE
2,NE-2,NE
3,NW-0,NW
4,NW-1,NW
5,NW-2,NW
6,NW-3,NW
7,NW-4,NW
8,NW-5,NW
9,NW-6,NW
10,YH-0,YH
11,YH-1,YH
12,YH-2,YH
13,YH-3,YH
14,YH-4,YH
15,EM-0,EM
16,EM-1,EM
17,EM-2,EM
18,EM-3,EM
19,WM-0,WM
20,WM-1,WM
21,WM-2,WM
22,WM-3,WM
23,WM-4,WM
24,EE-0,EE
25,EE-1,EE
26,EE-2,EE
27,EE-3,EE
28,EE-4,EE
29,LDN-0,LDN
30,LDN-1,LDN
31,LDN-2,LDN
32,LDN-3,LDN
33,LDN-4,LDN
34,LDN-5,LDN
35,LDN-6,LDN
36,LDN-7,LDN
37,SE-0,SE
38,SE-1,SE
39,SE-2,SE
40,SE-3,SE
41,SE-4,SE
42,SE-5,SE
43,SE-6,SE
44,SE-7,SE
45,SW-0,SW
46,SW-1,SW
47,SW-2,SW
48,SW-3,SW
49,SW-4,SW
